experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
2,2,611900,1291240100473200,3,2832400,
2,4,816500,1291240100859200,9,815400,
2,3,740800,1291240101253700,7,1532100,
2,1,798600,1291240101791300,5,2500400,
2,3,740800,1291240102250400,8,993400,
2,4,816500,1291240102765000,10,1903100,
2,2,611900,1291240103235000,4,2758900,
2,4,816500,1291240103616200,11,828500,
2,4,816500,1291240104033800,12,414400,
2,3,740800,1291240104592800,9,2332400,
2,1,798600,1291240105138100,6,3342200,
2,3,740800,1291240105708100,10,1111100,
2,3,740800,1291240106291100,11,564500,
2,3,740800,1291240106858800,12,561800,
2,4,816500,1291240107371100,13,3332900,
2,4,816500,1291240107777500,14,402600,
2,2,611900,1291240108307900,5,5069100,
2,2,611900,1291240108826500,6,513400,
2,3,740800,1291240109437000,13,2573200,
2,1,798600,1291240110004500,7,4860600,
2,3,740800,1291240110653500,14,1211800,
2,2,611900,1291240111041200,7,2209100,
2,1,798600,1291240111429100,8,1417600,
2,1,798600,1291240111791000,9,359600,
2,1,798600,1291240112227000,10,434000,
2,1,798600,1291240112619600,11,384000,
2,2,611900,1291240112985800,8,1942900,
2,1,798600,1291240113355700,12,734000,
2,2,611900,1291240113825200,9,836200,
2,2,611900,1291240114391900,10,564500,
2,1,798600,1291240114746600,13,1388700,
2,2,611900,1291240115290000,11,859400,
2,1,798600,1291240115805400,14,1055900,
2,2,611900,1291240116311000,12,1018500,
2,2,611900,1291240116708100,13,395000,
2,2,611900,1291240117191900,14,481100,
2,1,798600,,,TOTAL,,47469100
2,2,611900,,,TOTAL,,48853400
2,3,740800,,,TOTAL,,42223700
2,4,816500,,,TOTAL,,39333300
3,3,666400,1291240273152900,0,20806100,
3,2,842700,1291240273613200,0,21258200,
3,4,402200,1291240274239200,0,21954600,
3,1,861400,1291240274684400,0,22400300,
3,4,402200,1291240275031200,1,787200,
3,2,842700,1291240275396300,1,1183500,
3,3,666400,1291240275878400,1,1759300,
3,2,842700,1291240276365300,2,966000,
3,4,402200,1291240276858500,2,1825000,
3,1,861400,1291240277416300,1,2726800,
3,1,861400,1291240277942700,2,521600,
3,4,402200,1291240278466600,3,1603300,
3,2,842700,1291240279030900,3,2661600,
3,3,666400,1291240279519500,2,3638400,
3,3,666400,1291240279978900,3,455200,
3,3,666400,1291240280349500,4,367000,
3,2,842700,1291240280851900,4,1815900,
3,4,402200,1291240281260500,4,2789100,
3,1,861400,1291240281642900,3,3695000,
3,4,402200,1291240282092300,5,828900,
3,2,842700,1291240282484900,5,1629900,
3,3,666400,1291240282940400,5,2588000,
3,2,842700,1291240283264900,6,777000,
3,4,402200,1291240283704700,6,1608900,
3,1,861400,1291240284009500,4,2363500,
3,4,402200,1291240284404900,7,697100,
3,2,842700,1291240284850700,7,1583300,
3,2,842700,1291240285315100,8,460900,
3,2,842700,1291240285783200,9,464400,
3,3,666400,1291240286398900,6,3455400,
3,2,842700,1291240286870300,10,1083200,
3,4,402200,1291240287170100,8,2762100,
3,1,861400,1291240287500900,5,3488700,
3,4,402200,1291240287898500,9,725600,
3,2,842700,1291240288288800,11,1395200,
3,3,666400,1291240288739400,7,2337200,
3,2,842700,1291240289327100,12,1034700,
3,4,402200,1291240289691200,10,1789800,
3,1,861400,1291240290039900,6,2536000,
3,4,402200,1291240290496500,11,792000,
3,2,842700,1291240291102300,13,1771200,
3,3,666400,1291240291611800,8,2868300,
3,2,842700,1291240292171500,14,1065800,
3,4,402200,1291240292739400,12,2239600,
3,1,861400,1291240293332500,7,3289500,
3,1,861400,1291240293738000,8,402200,
3,4,402200,1291240294198100,13,1453400,
3,3,666400,1291240294815800,9,3200400,
3,3,666400,1291240295482600,10,659700,
3,4,402200,1291240295960500,14,1759300,
3,1,861400,1291240296370800,9,2629800,
3,3,666400,1291240296862900,11,1361300,
3,1,861400,1291240297188000,10,814600,
3,1,861400,1291240297560900,11,366600,
3,3,666400,1291240298126200,12,1260600,
3,3,666400,1291240298576600,13,448300,
3,1,861400,1291240299057600,12,1466000,
3,1,861400,1291240299650600,13,590900,
3,3,666400,1291240300241400,14,1663200,
3,1,861400,1291240300585900,14,932800,
3,1,861400,,,TOTAL,,48304300
3,2,842700,,,TOTAL,,39821500
3,3,666400,,,TOTAL,,47897300
3,4,402200,,,TOTAL,,43678300
4,2,511000,1291240497790300,0,30697700,
4,3,446600,1291240498544100,0,31425500,
4,1,889500,1291240499346400,0,32253900,
4,4,573000,1291240499891400,0,32790300,
4,1,889500,1291240500385000,1,1031100,
4,3,446600,1291240500916300,1,2054200,
4,2,511000,1291240501789800,1,2967900,
4,3,446600,1291240501970100,2,1048300,
4,1,889500,1291240502452300,2,2063000,
4,4,573000,1291240502951800,1,3051700,
4,1,889500,1291240503408300,3,951900,
4,3,446600,1291240503867000,3,1893600,
4,3,446600,1291240504320200,4,449100,
4,3,446600,1291240504832900,5,508400,
4,3,446600,1291240505301500,6,464200,
4,2,511000,1291240505726900,2,3931900,
4,3,446600,1291240506162800,7,857100,
4,1,889500,1291240506630000,4,3218000,
4,1,889500,1291240507093700,5,459100,
4,1,889500,1291240507564000,6,465700,
4,1,889500,1291240507990300,7,422800,
4,4,573000,1291240508471100,2,5515800,
4,1,889500,1291240509092300,8,1098400,
4,3,446600,1291240509586800,8,3419200,
4,2,511000,1291240510080700,3,4349800,
4,3,446600,1291240510601900,9,1010900,
4,1,889500,1291240511089100,9,1992300,
4,4,573000,1291240511516100,3,3041100,
4,1,889500,1291240511983700,10,890000,
4,3,446600,1291240512448200,10,1842600,
4,2,511000,1291240512787600,4,2703100,
4,3,446600,1291240513166600,11,706200,
4,1,889500,1291240513624700,11,1617000,
4,1,889500,1291240514076500,12,448100,
4,4,573000,1291240514525700,4,3005900,
4,1,889500,1291240515009100,13,924600,
4,3,446600,1291240515476100,12,2305500,
4,2,511000,1291240515942500,5,3151700,
4,3,446600,1291240516431700,13,951300,
4,1,889500,1291240516955400,14,1941600,
4,4,573000,1291240517495100,5,2964600,
4,3,446600,1291240517978600,14,1541900,
4,2,511000,1291240518450000,6,2502800,
4,4,573000,1291240518924700,6,1425200,
4,2,511000,1291240519395000,7,941100,
4,4,573000,1291240519835500,7,906300,
4,2,511000,1291240520272700,8,874200,
4,4,573000,1291240520715800,8,876300,
4,2,511000,1291240521148800,9,872800,
4,4,573000,1291240521632300,9,912400,
4,2,511000,1291240522148300,10,995700,
4,4,573000,1291240522619900,10,982100,
4,2,511000,1291240523097000,11,931700,
4,4,573000,1291240523580200,11,945900,
4,2,511000,1291240524107000,12,1006200,
4,4,573000,1291240524500900,12,916700,
4,2,511000,1291240524955300,13,841600,
4,4,573000,1291240525379400,13,874600,
4,2,511000,1291240525819100,14,858900,
4,4,573000,1291240526172700,14,789700,
4,1,889500,,,TOTAL,,49867200
4,2,511000,,,TOTAL,,58730400
4,3,446600,,,TOTAL,,50865000
4,4,573000,,,TOTAL,,59074500
5,1,783700,1291240705512000,0,23431200,
5,4,807900,1291240706032300,0,23918300,
5,3,757600,1291240706603300,0,24501000,
5,2,612900,1291240707115100,0,25030200,
5,3,757600,1291240707552800,1,944400,
5,4,807900,1291240708023300,1,1624700,
5,1,783700,1291240708496400,1,2098300,
5,1,783700,1291240708900500,2,399500,
5,4,807900,1291240709415300,2,1388100,
5,3,757600,1291240709947200,2,2390700,
5,3,757600,1291240710487400,3,533600,
5,2,612900,1291240711122000,1,4000700,
5,2,612900,1291240711765600,2,637800,
5,2,612900,1291240712290700,3,520200,
5,3,757600,1291240712834500,4,2339300,
5,4,807900,1291240713310700,3,3890000,
5,1,783700,1291240713789500,3,4884500,
5,4,807900,1291240714381900,4,1066300,
5,4,807900,1291240715829300,5,1441200,
5,3,757600,1291240716505300,5,3665400,
5,2,612900,1291240717178800,4,4883500,
5,3,757600,1291240717853000,6,1341400,
5,4,807900,1291240718410100,6,2574200,
5,1,783700,1291240719031600,4,5237200,
5,4,807900,1291240719514800,7,1095900,
5,3,757600,1291240720070700,7,2211800,
5,2,612900,1291240720597300,5,3412800,
5,3,757600,1291240721133000,8,1058300,
5,4,807900,1291240721633400,8,2114500,
5,1,783700,1291240722144900,5,3108800,
5,4,807900,1291240722629900,9,992500,
5,3,757600,1291240723147000,9,2009900,
5,2,612900,1291240723654300,6,3053200,
5,3,757600,1291240724142800,10,992000,
5,4,807900,1291240724590200,10,1956500,
5,1,783700,1291240725079200,6,2930400,
5,4,807900,1291240725662900,11,1062100,
5,3,757600,1291240726263500,11,2092000,
5,2,612900,1291240726873000,7,3215900,
5,3,757600,1291240727511000,12,1241400,
5,4,807900,1291240727960200,12,2291600,
5,1,783700,1291240728426900,7,3344200,
5,4,807900,1291240728861300,13,888500,
5,3,757600,1291240729428700,13,1912800,
5,2,612900,1291240729803000,8,2925600,
5,3,757600,1291240730315500,14,883200,
5,4,807900,1291240730724400,14,1859900,
5,1,783700,1291240731154000,8,2722000,
5,2,612900,1291240731540300,9,1734600,
5,1,783700,1291240731971100,9,813600,
5,2,612900,1291240732400300,10,857100,
5,1,783700,1291240732790100,10,816300,
5,2,612900,1291240733174600,11,764000,
5,1,783700,1291240733599700,11,795300,
5,2,612900,1291240734141100,12,963300,
5,1,783700,1291240734595700,12,956700,
5,2,612900,1291240735090400,13,945400,
5,1,783700,1291240735564100,13,964800,
5,2,612900,1291240736149600,14,1055400,
5,1,783700,1291240736731100,14,1162800,
5,1,783700,,,TOTAL,,54656200
5,2,612900,,,TOTAL,,54070100
5,3,757600,,,TOTAL,,48216200
5,4,807900,,,TOTAL,,48613200
6,2,745900,1291240906794300,0,28818500,
6,3,580400,1291240907340000,0,29376400,
6,4,501400,1291240907929300,0,30021600,
6,2,745900,1291240908532700,1,649600,
6,2,745900,1291240909224300,2,686600,
6,1,728300,1291240909727800,0,31853800,
6,2,745900,1291240910285700,3,1056400,
6,2,745900,1291240910859800,4,569500,
6,2,745900,1291240911419200,5,553400,
6,4,501400,1291240912056300,1,4121100,
6,3,580400,1291240912514500,1,4629500,
6,4,501400,1291240913200900,2,1139800,
6,2,745900,1291240913855500,6,2429600,
6,1,728300,1291240914546800,1,4810000,
6,2,745900,1291240915353400,7,1485900,
6,2,745900,1291240916113400,8,753800,
6,2,745900,1291240916965400,9,845800,
6,4,501400,1291240917679800,3,4474400,
6,3,580400,1291240918301900,2,5782700,
6,3,580400,1291240918913700,3,605900,
6,4,501400,1291240919644500,4,1958600,
6,4,501400,1291240920329400,5,678600,
6,2,745900,1291240920966900,10,3994300,
6,1,728300,1291240921731700,2,7178800,
6,2,745900,1291240922350000,11,1347500,
6,4,501400,1291240922932700,6,2598300,
6,3,580400,1291240923527800,4,4609700,
6,4,501400,1291240923931100,7,994300,
6,2,745900,1291240924439700,12,2084200,
6,1,728300,1291240924979700,3,3242500,
6,2,745900,1291240925517800,13,1074000,
6,4,501400,1291240926099000,8,2163900,
6,3,580400,1291240926512300,5,2980600,
6,4,501400,1291240926970500,9,867800,
6,2,745900,1291240927308000,14,1785800,
6,1,728300,1291240927853200,4,2867800,
6,4,501400,1291240928278000,10,1304400,
6,3,580400,1291240928676400,6,2161600,
6,3,580400,1291240929021600,7,342300,
6,3,580400,1291240929413900,8,389300,
6,4,501400,1291240929878800,11,1593000,
6,1,728300,1291240930253300,5,2396300,
6,1,728300,1291240930583600,6,327700,
6,4,501400,1291240931072100,12,1190200,
6,3,580400,1291240931503600,9,2085900,
6,4,501400,1291240931845500,13,770200,
6,1,728300,1291240932209000,7,1623100,
6,1,728300,1291240932568900,8,357200,
6,1,728300,1291240933013500,9,441900,
6,4,501400,1291240933510200,14,1662300,
6,3,580400,1291240934003200,10,2496200,
6,1,728300,1291240934499200,10,1481600,
6,3,580400,1291240934936900,11,917200,
6,1,728300,1291240935366900,11,859300,
6,3,580400,1291240935778200,12,837400,
6,1,728300,1291240936217400,12,805300,
6,3,580400,1291240936692700,13,911200,
6,1,728300,1291240937202900,13,981900,
6,3,580400,1291240937728600,14,1033000,
6,1,728300,1291240938126600,14,920800,
6,1,728300,,,TOTAL,,60256100
6,2,745900,,,TOTAL,,49339200
6,3,580400,,,TOTAL,,59768900
6,4,501400,,,TOTAL,,55607400
7,3,775400,1291241172474400,0,30702500,
7,1,895600,1291241173113200,0,31342200,
7,2,880100,1291241173729500,0,31945400,
7,4,732100,1291241174395700,0,32617800,
7,2,880100,1291241174959600,1,1223800,
7,3,775400,1291241175444800,1,1958100,
7,1,895600,1291241176003400,1,2515500,
7,3,775400,1291241176633900,2,1184900,
7,2,880100,1291241177261900,2,2298400,
7,4,732100,1291241177831300,1,3429000,
7,2,880100,1291241178357900,3,1091800,
7,3,775400,1291241178905000,3,2267100,
7,1,895600,1291241179430100,2,3422300,
7,3,775400,1291241179947700,4,1038000,
7,2,880100,1291241180507400,4,2145800,
7,4,732100,1291241181065400,2,3229800,
7,2,880100,1291241181589500,5,1078300,
7,3,775400,1291241182152000,5,2200700,
